CoordinatedSampleNumber	Site	State	Disturbed_Remnant
Big_Osage_MO_Dist1	16	Osage	MO	Disturbed
Big_Osage_MO_Dist2	17	Osage	MO	Disturbed
Taberville_MO_Dist2	18	Taberville	MO	Disturbed
Wahkontah_MO_Dist1	19	WahKonTah	MO	Disturbed
Morris_MO_Dist1	20	Morris	MO	Disturbed
Morris_MO_Dist2	21	Morris	MO	Disturbed
Weston_IL_Nat2	48	Weston	IL	Remnant
Weston_IL_Nat1	49	Weston	IL	Remnant
Sunbury_IL_Nat2	50	Sunbury	IL	Remnant
Sunbury_IL_Nat1	51	Sunbury	IL	Remnant
Goose_Lake_IL_Nat1	52	Goose_Lake	IL	Remnant
Goose_Lake_IL_Nat2	53	Goose_Lake	IL	Remnant
Big_Osage_MO_Nat2	59	Big_Osage	MO	Remnant
Big_Osage_MO_Nat1	60	Big_Osage	MO	Remnant
Little_Osage_MO_Nat2	61	Little_Osage	MO	Remnant
Little_Osage_MO_Nat1	62	Little_Osage	MO	Remnant
Wahkontah_MO_Nat2	63	WahKonTah	MO	Remnant
Wahkontah_MO_Nat1	64	WahKonTah	MO	Remnant
Taberville_MO_Nat1	65	Taberville	MO	Remnant
Taberville_MO_Nat2	66	Taberville	MO	Remnant
Morris_MO_Nat5	67	Morris	MO	Remnant
Morris_MO_Nat2	68	Morris	MO	Remnant
IL_Rte_54_IL_Dist4	69	IL_Rte54	IL	Disturbed
IL_Rte_54_IL_Dist2	70	IL_Rte54	IL	Disturbed
IL_Rte_54_IL_Dist3	71	IL_Rte54	IL	Disturbed
East_Paxton_IL_Dist3	72	Paxton_East	IL	Disturbed
East_Paxton_IL_Dist4	73	Paxton_East	IL	Disturbed
East_Paxton_IL_Dist2	74	Paxton_East	IL	Disturbed
Chanute_PP_2	119	PrairiePines	IL	Disturbed
Chanute_PP_3	120	PrairiePines	IL	Disturbed
Chanute_Dump_3	121	ChanuteDump	IL	Disturbed
Chanute_Dump_2	135	ChanuteDump	IL	Disturbed
Chanute_Loda_1	136	Loda	IL	Remnant
Chanute_Loda_2	137	Loda	IL	Remnant
Chanute_Paxton_1	138	Paxton	IL	Remnant
Chanute_Short_Line_1	140	ShortLine	IL	Remnant
Chanute_Pellsville_1	141	Pellsville	IL	Remnant
Chanute_Pellsville_2	142	Pellsville	IL	Remnant
