OTU_num	Genus_Attribution	Using_maxAccepts10_Jan2017_USEARCH_highestPercIDMatch_againstRefSeqsSpanningAMFOTURegion	Attribution_from_USEARCH_or_phylogeny
1	289	Diversispora	98	U
2	481	Diversispora	84	U
3	496	Diversispora	94	U
5	682	Diversispora	94	U
7	854	Diversispora	67	U
8	858	Diversispora	94	U
9	1005	Diversispora	99	U
10	1037	Diversispora	78	U
11	1162	Diversispora	94	U
12	85	Acaulospora	97	U
13	168	Acaulospora	94	U
14	339	Acaulospora	97	U
15	490	Acaulospora	93	U
16	526	Acaulospora	96	U
17	564	Acaulospora	91	U
18	610	Acaulospora	95	U
19	653	Acaulospora	94	U
20	696	Acaulospora	99	U
21	725	Acaulospora	95	U
22	736	Acaulospora	94	U
23	797	Acaulospora	99	U
24	836	Acaulospora	93	U
25	1050	Acaulospora	95	U
26	1109	Acaulospora	100	U
27	462	Scutellospora	99	U
28	973	Scutellospora	97	U
29	927	Cetraspora	97	U
30	378	Gigaspora	98	U
31	1035	Gigaspora	98	U
32	8	Claroideoglomus	98	U
33	88	Claroideoglomus	81	U
34	104	Claroideoglomus	78	U
35	190	Claroideoglomus	77	U
36	220	Claroideoglomus	78	U
37	255	Claroideoglomus	99	U
38	441	Claroideoglomus	95	U
39	469	Claroideoglomus	82	U
40	521	Claroideoglomus	NA	P
41	540	Claroideoglomus	80	U
42	651	Claroideoglomus	NA	P
43	655	Claroideoglomus	80	U
44	706	Claroideoglomus	83	U
46	33	Glomeraceae	NA	P
47	36	Glomeraceae	NA	P
48	43	Glomeraceae	NA	P
49	45	Glomeraceae	NA	P
50	46	Glomeraceae	NA	P
51	48	Glomeraceae	NA	P
52	55	Glomeraceae	85	U
53	58	Glomeraceae	NA	P
54	73	Glomeraceae	NA	P
55	89	Glomeraceae	NA	P
56	90	Glomeraceae	NA	P
57	98	Glomeraceae	89	U
58	106	Glomeraceae	NA	P
59	109	Glomeraceae	NA	P
60	122	Glomeraceae	NA	P
61	129	Glomeraceae	87	U
62	140	Glomeraceae	86	U
63	145	Glomeraceae	NA	P
64	151	Glomeraceae	NA	P
65	152	Glomeraceae	NA	P
66	153	Glomeraceae	86	U
67	171	Glomeraceae	NA	P
68	185	Glomeraceae	NA	P
70	227	Glomeraceae	NA	P
71	229	Glomeraceae	NA	P
72	293	Glomeraceae	NA	P
73	295	Glomeraceae	85	U
74	302	Glomeraceae	NA	P
75	306	Glomeraceae	NA	P
76	326	Glomeraceae	NA	P
77	403	Glomeraceae	NA	P
78	477	Glomeraceae	NA	P
79	516	Glomeraceae	NA	P
80	523	Glomeraceae	83	U
82	542	Glomeraceae	86	U
83	572	Glomeraceae	86	U
84	586	Glomeraceae	NA	P
85	591	Glomeraceae	NA	P
86	608	Glomeraceae	NA	P
87	675	Glomeraceae	85	U
90	745	Glomeraceae	84	U
91	765	Glomeraceae	NA	P
92	807	Glomeraceae	NA	P
93	824	Glomeraceae	85	U
94	872	Glomeraceae	NA	P
96	945	Glomeraceae	88	U
97	954	Glomeraceae	NA	P
98	975	Glomeraceae	84	U
99	1018	Glomeraceae	NA	P
100	1030	Glomeraceae	85	U
101	1086	Glomeraceae	NA	P
102	1190	Glomeraceae	NA	P
103	14	Rhizoglomus	98	U
104	30	Rhizoglomus	98	U
105	40	Rhizoglomus	88	U
106	44	Rhizoglomus	98	U
107	63	Rhizoglomus	99	U
108	84	Rhizoglomus	88	U
109	100	Rhizoglomus	98	U
110	111	Rhizoglomus	96	U
111	121	Rhizoglomus	99	U
112	126	Rhizoglomus	87	U
113	139	Rhizoglomus	99	U
114	154	Rhizoglomus	90	U
115	159	Rhizoglomus	97	U
116	164	Rhizoglomus	89	U
117	173	Rhizoglomus	93	U
118	181	Rhizoglomus	98	U
119	189	Rhizoglomus	90	U
120	232	Rhizoglomus	93	U
121	233	Rhizoglomus	90	U
122	247	Rhizoglomus	87	U
123	249	Rhizoglomus	NA	P
124	280	Rhizoglomus	97	U
125	281	Rhizoglomus	94	U
126	299	Rhizoglomus	86	U
127	347	Rhizoglomus	100	U
128	359	Rhizoglomus	96	U
129	364	Rhizoglomus	92	U
130	384	Rhizoglomus	98	U
131	386	Rhizoglomus	87	U
132	396	Rhizoglomus	87	U
133	404	Rhizoglomus	98	U
134	452	Rhizoglomus	88	U
136	534	Rhizoglomus	98	U
137	552	Rhizoglomus	97	U
138	607	Rhizoglomus	95	U
139	613	Rhizoglomus	93	U
140	649	Rhizoglomus	99	U
141	668	Rhizoglomus	89	U
142	673	Rhizoglomus	88	U
143	678	Rhizoglomus	99	U
144	690	Rhizoglomus	97	U
146	710	Rhizoglomus	90	U
148	762	Rhizoglomus	92	U
149	800	Rhizoglomus	92	U
150	823	Rhizoglomus	96	U
151	834	Rhizoglomus	98	U
152	875	Rhizoglomus	87	U
153	883	Rhizoglomus	87	U
154	941	Rhizoglomus	90	U
155	1019	Rhizoglomus	88	U
156	1227	Rhizoglomus	99	U
157	1231	Rhizoglomus	99	U
158	110	Glomus	88	U
159	136	Glomus	89	U
160	194	Glomus	98	U
161	210	Glomus	87	U
162	242	Glomus	89	U
163	248	Glomus	86	U
164	277	Glomus	82	U
165	372	Glomus	90	U
166	585	Glomus	99	U
168	704	Glomus	NA	P
169	715	Glomus	88	U
171	820	Glomus	88	U
172	822	Glomus	NA	P
173	831	Glomus	90	U
174	1022	Glomus	77	U
176	1114	Glomus	NA	P
178	1169	Glomus	74	U
179	135	Funneliformis	99	U
180	593	Funneliformis	97	U
181	646	Funneliformis	94	U
182	96	Septoglomus	NA	P
183	113	Septoglomus	98	U
184	141	Septoglomus	91	U
186	499	Septoglomus	NA	P
188	666	Septoglomus	95	U
190	849	Septoglomus	89	U
191	946	Septoglomus	89	U
192	1077	Septoglomus	89	U
193	1081	Septoglomus	91	U
194	486	Ambispora	92	U
195	1097	Ambispora	98	U
196	239	Archaeospora	77	U
197	81	Paraglomus	93	U
198	213	Paraglomus	99	U
199	470	Paraglomus	NA	P
